url,title,description,date,tipo
https://drive.google.com/file/d/1TcGLBK3LYZFSoqiq5VsUtb4HmXtFk7b_/view?usp=sharing&t=37.214, Justicia acelerada, Celeridad en los procesos judiciales del MCCALP,15/06/2026,Podcast
https://drive.google.com/file/d/1lx10zaSG5mKTql1Ax_0drqd2qC6480Gu/view?usp=sharing, Justicia para Todos, Acceso a la justicia para todos los justiciables,10/11/2025, Podcast
https://drive.google.com/file/d/1a6wvcRygckdnn7AHRwKbSrqmx1h_zYsl/view?usp=sharing, Justicia rápida, La eficiencia en los procesos judiciales,20/11/2025, Podcast
https://drive.google.com/file/d/1dYzRhBEtrhdyJEmmQkt1uaR7eOr5Z_-G/view?usp=sharing, Una década de espera, Reflexión sobre los plazos en la administración de justicia,15/12/2025, Podcast
https://drive.google.com/file/d/1r_W15EDIfVht2ozB4cIfK0RgMIqJsGve/view?usp=sharing, Asistente de voz MCCALP, Tutorial sobre el uso del asistente de voz del MCCALP,02/01/2026, Instructivo
https://drive.google.com/file/d/1I7hD0WVKNv1aCGAcEIvBLgRm0LZjnM-H/view?usp=sharing, Lucha por la reincorporación, La defensa de los derechos laborales en el MCCALP,15/01/2026, Podcast
https://drive.google.com/file/d/1PIgr-ASgg1Z1deL1ww9w5WQda-orOjf3/view?usp=sharing, Requisitos de una demanda, Requisitos de la demanda según el artículo 424 del CPC,15/03/2026,Instructivo
https://drive.google.com/file/d/1pt_KnPVdbmzpOofrj7_zTiQF1lO-GEhS/view?usp=sharing, Ejecución de sentencias, El proceso de ejecución de sentencias judiciales,15/04/2026,Instructivo
https://drive.google.com/file/d/1OFxz3Ewapkj7S-256WB5RqfImBt95SwK/view?usp=sharing, Pago de devengados por bonificación especial de preparación de clases, Explicación sobre el pago de bonificación por preparación de clases,20/04/2026, Podcast
https://drive.google.com/file/d/1iNNGkSxDa7BSzfzVcCO_ey6htaNPl71l/view?usp=sharing, Código de Conducta del Poder Judicial, Presentación del Código de Conducta del Poder Judicial,29/04/2026,Instructivo
https://drive.google.com/file/d/1daRw8oi_HZ5tTKwKGST2cYLSLW5gsJhh/view?usp=sharing, Entrevista al Juez Coordinador del MCCALP, Entrevista sobre la labor y funciones del Módulo Corporativo MCCALP,15/06/2026,Informativo
https://drive.google.com/file/d/12KLRWQSzizU6cPsSJve2ARpMlWBojYDx/view?usp=sharing, Aniversario del MCCALP, Video conmemorativo del aniversario del MCCALP 2024-2026,04/06/2026,Informativo
