EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
00623-2026-0-2301-JR-CI-02,623,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,29/04/2026 08:57,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00624-2026-0-2301-JR-CI-03,624,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,24/04/2026 16:12,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,4to Juzgado de Trabajo
00292-2026-0-2301-JR-CI-04,292,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,06/04/2026 15:01,ORDINARIO,NULIDAD DE RESOLUCIÓN O ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00085-2026-0-2301-JP-LA-01,85,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,06/04/2026 10:55,ORDINARIO,PAGO DE HONORARIOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00579-2026-0-2301-JR-LA-01,579,2026,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,28/04/2026 16:29,ORDINARIO,REPOSICION,Contencioso Administrativo,4,2do Juzgado de Trabajo
00524-2026-0-2301-JR-LA-02,524,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,07/04/2026 11:31,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00535-2026-0-2301-JR-LA-02,535,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,08/04/2026 16:06,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00555-2026-0-2301-JR-LA-02,555,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,13/04/2026 13:13,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00544-2026-0-2301-JR-LA-02,544,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,09/04/2026 20:43,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00668-2026-0-2301-JR-LA-02,668,2026,INGRESOS A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR INGRESO REGULAR,30/04/2026 16:19,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
