x_formato,n_num_exp,n_anio_exp,var_des,var_des_det,x_desc_acto_procesal,f_registro,x_proceso,x_materia,Columna1,l_tipo_juzgado_exp,Columna2
02090-2023-0-2301-JR-LA-02,2090,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,01/04/2026 13:03,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
01009-2021-0-2301-JR-LA-01,1009,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,27/04/2026 15:33,ESPECIAL,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
01430-2023-0-2301-JR-LA-02,1430,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,14/04/2026 11:11,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
01706-2023-0-2301-JR-LA-02,1706,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,01/04/2026 10:59,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00889-2023-0-2301-JR-LA-02,889,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,14/04/2026 11:25,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
02025-2015-0-2301-JR-CI-03,2025,2015,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,23/04/2026 15:47,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00255-2025-0-2301-JR-CI-03,255,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,22/04/2026 16:49,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,4to Juzgado de Trabajo
01523-2024-0-2301-JR-LA-03,1523,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,24/04/2026 16:44,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,4to Juzgado de Trabajo
00637-2021-0-2301-JR-LA-03,637,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,15/04/2026 17:08,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,4,4to Juzgado de Trabajo
00212-2024-0-2301-JR-LA-02,212,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,01/04/2026 13:06,URGENTE,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,4,2do Juzgado de Trabajo
00101-2026-0-2301-JR-LA-04,101,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,23/04/2026 12:40,ORDINARIO,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,4,4to Juzgado de Trabajo
00988-2024-0-2301-JR-CI-02,988,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,14/04/2026 10:38,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00622-2018-0-2301-JR-LA-02,622,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,07/04/2026 09:01,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00442-2021-0-2301-JR-LA-01,442,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,14/04/2026 10:44,ESPECIAL,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00850-2022-0-2301-JR-LA-02,850,2022,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,16/04/2026 09:38,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
00005-2023-0-2301-JR-CI-02,5,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,10/04/2026 09:04,CONTENCIOSO ADMINISTRATIVO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,4,2do Juzgado de Trabajo
