EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
01685-2023-0-2301-JR-LA-02,1685,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46161.36875,URGENTE,5,Contencioso Administrativo,5,2do Juzgado de Trabajo
01517-2018-0-2301-JR-LA-02,1517,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,46164.67778,ESPECIAL,5,Contencioso Administrativo,5,2do Juzgado de Trabajo
00186-2026-0-2301-JR-CI-03,186,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,46160.61181,ORDINARIO,5,Contencioso Administrativo,5,4to Juzgado de Trabajo
01690-2025-0-2301-JR-CI-03,1690,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46162.60625,ORDINARIO,5,Contencioso Administrativo,5,4to Juzgado de Trabajo
01773-2018-0-2301-JR-LA-03,1773,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,46149.66319,ORDINARIO,80,Contencioso Administrativo,5,2do Juzgado de Trabajo
00539-2021-0-2301-JR-LA-02,539,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46169.35972,ORDINARIO,280,Contencioso Administrativo,5,2do Juzgado de Trabajo
00977-2021-0-2301-JR-LA-02,977,2021,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46149.6625,ESPECIAL,280,Contencioso Administrativo,5,2do Juzgado de Trabajo
00420-2013-0-2301-JR-LA-02,420,2013,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46149.66111,CONTENCIOSO ADMINISTRATIVO,300,Contencioso Administrativo,5,2do Juzgado de Trabajo
01100-2018-0-2301-JR-LA-02,1100,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46160.60903,ESPECIAL,438,Contencioso Administrativo,5,2do Juzgado de Trabajo
00485-2025-0-2301-JR-CI-02,485,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46171.61181,ORDINARIO,438,Contencioso Administrativo,5,2do Juzgado de Trabajo
01211-2018-0-2301-JR-LA-02,1211,2018,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46170.48056,ESPECIAL,438,Contencioso Administrativo,5,2do Juzgado de Trabajo
01429-2025-0-2301-JR-CI-03,1429,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,46171.60972,ORDINARIO,438,Contencioso Administrativo,5,2do Juzgado de Trabajo
