EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
02153-2025-0-2301-JR-CI-03,2153,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,24/12/2025 12:07,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,2do Juzgado de Trabajo
02380-2025-0-2301-JR-CI-01,2380,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,29/12/2025 10:32,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
02292-2025-0-2301-JR-CI-02,2292,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/12/2025 15:22,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
02281-2025-0-2301-JR-CI-02,2281,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,15/12/2025 11:30,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
02280-2025-0-2301-JR-CI-04,2280,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/12/2025 10:51,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
02247-2025-0-2301-JR-CI-04,2247,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,17/12/2025 16:51,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
00255-2025-0-2301-JR-CI-03,255,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,31/12/2025 11:25,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
02249-2025-0-2301-JR-CI-02,2249,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,30/12/2025 15:20,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,12,2do Juzgado de Trabajo
02356-2025-0-2301-JR-CI-04,2356,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,17/12/2025 16:55,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,12,2do Juzgado de Trabajo
01958-2025-0-2301-JR-CI-03,1958,2025,DE OTRA DEPENDENCIA A CALIFICACIÓN,TOTAL INGRESOS A CALIFICACIÓN,RECEPCION  EN DEPENDENCIA POR REDISTRIBUCION,15/12/2025 11:10,ORDINARIO,NULIDAD DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,12,4to Juzgado de Trabajo
