EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00868-2023-0-2301-JR-LA-02,868,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,26/01/2026 12:44,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00440-2024-0-2301-JR-LA-01,440,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,26/01/2026 12:43,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00674-2019-0-2301-JR-LA-02,674,2019,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,22/01/2026 09:14,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01180-2024-0-2301-JR-LA-02,1180,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,30/01/2026 17:40,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00966-2023-0-2301-JR-LA-02,966,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,26/01/2026 15:04,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00988-2023-0-2301-JR-LA-02,988,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,22/01/2026 16:59,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01682-2023-0-2301-JR-LA-02,1682,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,07/01/2026 17:23,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00744-2022-0-2301-JR-LA-02,744,2022,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,21/01/2026 17:43,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00894-2023-0-2301-JR-CI-04,894,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,16/01/2026 16:09,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01248-2023-0-2301-JR-LA-02,1248,2023,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,16/01/2026 11:38,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,1,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103-2016-0-2301-JR-LA-02,103,2016,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,14/01/2026 12:58,ESPECIAL,IMPUGNACION DE ACTO O RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,1,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
